,text,object_part_of_series_type,best_rating,object_select,object_name,rating_unit,object_type,rating_value
1907,give four out of 6  points to current  novel,,6,current,,points,novel,four
1908,give one out of 6  points to The Psychopathic God  series,series,6,,The Psychopathic God,points,,one
1909,Rate Seeing the Big Picture a zero out of 6  points,,6,,Seeing the Big Picture,points,,zero
1910,this  textbook rates a 4 of 6 .,,6,this,,,textbook,4
1911,I give this  series a value of one and a best rating of 6,series,6,this,,,,one
1912,Rate A Conspiracy of Paper  4 of 6,,6,,A Conspiracy of Paper,,,4
1913,rate the current  textbook  4 of 6  points,,6,current,,points,textbook,4
1914,Rate The Man Who Sold the Moon a 5 .,,,,The Man Who Sold the Moon,,,5
1915,give one out o 6  stars to this  chronicle,chronicle,6,this,,stars,,one
1916,I'd give the Embers of War  saga a rating of 2  points .,saga,,,Embers of War,points,,2
1917,I gave the current  album  two  stars,,,current,,stars,album,two
1918,I rate Step by Wicked Step  1  stars,,,,Step by Wicked Step,stars,,1
1919,rate The Stone Key a 5,,,,The Stone Key,,,5
1920,give five out of 6 to this  novel,,6,this,,,novel,five
1921,The book the Gardens of the Moon deserves only 1  stars .,,,,Gardens of the Moon,stars,book,1
1922,I give this  book a 5 .,,,this,,,book,5
1923,I give this  series a one out of 6,series,6,this,,,,one
1924,zero  points for Birds of South Asia. The Ripley Guide,,,,Birds of South Asia. The Ripley Guide,points,,zero
1925,The current  essay feels like a 3 .,,,current,,,essay,3
1926,"Out of a possiable 6 I give Jip, His Story a 0 ",,6,,"Jip, His Story",,,0
1927,I am giving this current  book under the series section one  stars,series,,current,,stars,book,one
1928,give four out of 6  stars to current  essay,,6,current,,stars,essay,four
1929,Give the book  The Adventures of James Bond Junior 003½  2  points for a rating.,,,,The Adventures of James Bond Junior 003½,points,book,2
1930,Give this  album  1  stars .,,,this,,stars,album,1
1931,Give The Snows of Kilimanjaro  3  stars .,,,,The Snows of Kilimanjaro,stars,,3
1932,give zero  points to current  album,,,current,,points,album,zero
1933,I want to rate The Obama Syndrome  zero of 6,,6,,The Obama Syndrome,,,zero
1934,Rate Puttering About in a Small Land  zero out of 6  stars,,6,,Puttering About in a Small Land,stars,,zero
1935,Rate the City of Lost Souls  one of 6  points,,6,,City of Lost Souls,points,,one
1936,rate Quantum Theology  one out of 6,,6,,Quantum Theology,,,one
1937,Rate this current  saga  one  points,saga,,current,,points,,one
1938,I'd like to give The Harder They Come  two  points,,,,The Harder They Come,points,,two
1939,I think the Dictionary of New Zealand Biography deserves 2  points,,,,Dictionary of New Zealand Biography,points,,2
1940,I rate Shadow of Suribachi at five  stars .,,,,Shadow of Suribachi,stars,,five
1941,Give After Having Spent a Night Among Horses  0 out of 6 .,,6,,After Having Spent a Night Among Horses,,,0
1942,the current rating of 6 out of two for a textbook,,6,current,,,textbook,two
1943,Give the saga called The Bridges of Madison County  four of 6  stars .,saga,6,,The Bridges of Madison County,stars,,four
1944,The Postman is awful and only gets a 1 out of 6 .,,6,,The Postman,,,1
1945,Rate 12: The Elements of Great Managing a 0,,,,12: The Elements of Great Managing,,,0
1946,I give The French Suicide  5  stars,,,,The French Suicide,stars,,5
1947,give 5  points to The White Hotel,,,,The White Hotel,points,,5
1948,I give Christianity not Mysterious  1 out of 6  points .,,6,,Christianity not Mysterious,points,,1
1949,give five  stars to The Songlines,,,,The Songlines,stars,,five
1950,rate the book  The Nightmare Lands  0 out of 6  stars,,6,,The Nightmare Lands,stars,book,0
1951,rate this  textbook  0  stars,,,this,,stars,textbook,0
1952,give 5 out of 6  stars to Coming Home,,6,,Coming Home,stars,,5
1953,Give Drift: The Unmooring of American Military Power  0 out of 6  points .,,6,,Drift: The Unmooring of American Military Power,points,,0
1954,give 1 out of 6  points to Revolution World,,6,,Revolution World,points,,1
1955,Rate this  essay  zero  stars out of 6,,6,this,,stars,essay,zero
1956,rate this  album  four out of 6  stars,,6,this,,stars,album,four
1957,Give this  textbook  four  stars .,,,this,,stars,textbook,four
1958,rate A Twist in the Tale  zero out of 6  points,,6,,A Twist in the Tale,points,,zero
1959,Rate The children of Niobe  1 out of 6  points .,,6,,The children of Niobe,points,,1
1960,Give zero  stars to Halo: Ghosts of Onyx,,,,Halo: Ghosts of Onyx,stars,,zero
1961,give this  novel a score of 5,,,this,,,novel,5
1962,Give the current  series  four of 6  points .,series,6,current,,points,,four
1963,Give 4 out of 6  points to The Spirit Ring  chronicle,chronicle,6,,The Spirit Ring,points,,4
1964,Give two  stars out of 6 to 36 Children,,6,,36 Children,stars,,two
1965,Rate The Sneetches and Other Stories a three,,,,The Sneetches and Other Stories,,,three
1966,Rate the current  series  four  stars .,series,,current,,stars,,four
1967,rate this  book a 4 out of 6,,6,this,,,book,4
1968,rate the current  novel  5 of 6  stars,,6,current,,stars,novel,5
1969,Rate this  book a 1 ,,,this,,,book,1
1970,Give zero out of 6 to the current  album,,6,current,,,album,zero
1971,Give this  album  5  points .,,,this,,points,album,5
1972,Rate The Mystery of the Tolling Bell  series  4  stars .,series,,,The Mystery of the Tolling Bell,stars,,4
1973,Give the current  novel  two  stars .,,,current,,stars,novel,two
1974,Give the current  book  4  stars,,,current,,stars,book,4
1975,Give Joe Magarac and His USA Citizen Papers  5  points,,,,Joe Magarac and His USA Citizen Papers,points,,5
1976,Rate The Guilty  0 of 6  points,,6,,The Guilty,points,,0
1977,rate this  textbook  four out of 6,,6,this,,,textbook,four
1978,Give the Catedral  series  four  stars .,series,,,Catedral,stars,,four
1979,Reminiscences of the Anti-Japanese Guerillas  chronicle deserves zero  points out of 6 for a rating.,chronicle,6,,Reminiscences of the Anti-Japanese Guerillas,points,,zero
1980,"Give Small Screen, Big Picture a 0 out of 6 rating.",,6,,"Small Screen, Big Picture",,,0
1981,Gods and Pawns should get a three,,,,Gods and Pawns,,,three
1982,Give zero  stars to this  textbook,,,this,,stars,textbook,zero
1983,Rate the current  novel a 4 out of 6  stars .,,6,current,,stars,novel,4
1984,Rate the book  The Atmospheric Railway  5 out of 6,,6,,The Atmospheric Railway,,book,5
1985,rate Black Boy  4 out of 6,,6,,Black Boy,,,4
1986,Rate the chronicle  current  1 star,chronicle,,current,,,,1
1987,mark this  album a score of 5,,,this,,,album,5
1988,rate the current  novel  zero out of 6,,6,current,,,novel,zero
1989,rate the current  novel a 2,,,current,,,novel,2
1990,Give The Giant Devil Dingo  4  points .,,,,The Giant Devil Dingo,points,,4
1991,Rate this current  novel  two out of 6 .,,6,this current,,,novel,two
1992,Give Monthly Index of Medical Specialities a two out of 6 rating.,,6,,Monthly Index of Medical Specialities,,,two
1993,rate this  novel  2 out of 6  points,,6,this,,points,novel,2
1994,Rate the current  novel  3  stars,,,current,,stars,novel,3
1995,rate the current  essay  zero out of 6  stars,,6,current,,stars,essay,zero
1996,rate this current  album  0  stars,,,this current,,stars,album,0
1997,Give A Brief Stop on the Road from Auschwitz  1 out of 6  stars,,6,,A Brief Stop on the Road from Auschwitz,stars,,1
1998,Rate this  album  4 out of 6  stars,,6,this,,stars,album,4
1999,Rate Hate That Cat  1 out of 6  stars .,,6,,Hate That Cat,stars,,1
2000,give my current  book  one of 6  stars,,6,current,,stars,book,one
2001,Rate current  novel  one  stars .,,,current,,stars,novel,one
2002,Give five out of 6  points to this  album,,6,this,,points,album,five
2003,Give a rating of 2 to Juneteenth .,,,,Juneteenth,,,2
2004,Rate Ruth  five out of 6  points .,,6,,Ruth,points,,five
2005,rate The Sea of Trolls  1  stars out of 6,,6,,The Sea of Trolls,stars,,1
2006,give The Zenith Angle  one out of 6  points,,6,,The Zenith Angle,points,,one
2007,Give zero  stars to Rhialto the Marvellous,,,,Rhialto the Marvellous,stars,,zero
2008,give the current  book a zero of 6,,6,current,,,book,zero
2009,rate Personal Demons  0 out of 6  points,,6,,Personal Demons,points,,0
2010,Rate the current  series a 4,series,,current,,,,4
2011,Give one of 6  points to Who Will Cry When You Die,,6,,Who Will Cry When You Die,points,,one
2012,Give zero out of 6  stars to this  album,,6,this,,stars,album,zero
2013,Give this  novel  2  stars,,,this,,stars,novel,2
2014,Rate The 8-Week Cholesterol Cure  three out of 6 .,,6,,The 8-Week Cholesterol Cure,,,three
2015,rate this  novel  3 out of 6  points,,6,this,,points,novel,3
2016,rate The Lives of John Lennon  five  points,,,,The Lives of John Lennon,points,,five
2017,Give The American Scene  2 of 6  stars,,6,,The American Scene,stars,,2
2018,Rate this  textbook a one .,,,this,,,textbook,one
2019,Give Summer of the Swans  1  points .,,,,Summer of the Swans,points,,1
2020,Give the current  textbook a rating of five .,,,current,,,textbook,five
2021,Give 4  points to The Person and the Common Good,,,,The Person and the Common Good,points,,4
2022,Give a four rating to A World Apart .,,,,A World Apart,,,four
2023,rate this  chronicle  0  points,chronicle,,this,,points,,0
2024,Give Wilco: Learning How to Die a rating of four  points .,,,,Wilco: Learning How to Die,points,,four
2025,Rate this  saga  two out of 6 .,saga,6,this,,,,two
2026,rate The Gift: Imagination and the Erotic Life of Property  five  stars,,,,The Gift: Imagination and the Erotic Life of Property,stars,,five
2027,rate Neverwhere  four out of 6,,6,,Neverwhere,,,four
2028,Rate In the Company of Cheerful Ladies a zero out of 6,,6,,In the Company of Cheerful Ladies,,,zero
2029,Give one start to the current  book,,,current,,,book,one
2030,Give this  chronicle a 2 rating.,chronicle,,this,,,,2
2031,rate this  essay a 1,,,this,,,essay,1
2032,"Out of 6 , give Rivers of Babylon a 1",,6,,Rivers of Babylon,,,1
2033,Give 5 of 6  stars to Expressive Processing,,6,,Expressive Processing,stars,,5
2034,rate The Ghost House  series a one,series,,,The Ghost House,,,one
2035,rate Know Ye Not Agincourt ? 2 out of 6  stars,,6,,Know Ye Not Agincourt,stars,,2
2036,I would rate Theft: A Love Story  four out of 6  stars .,,6,,Theft: A Love Story,stars,,four
2037,Rate The Further Adventures of The Joker  four  stars,,,,The Further Adventures of The Joker,stars,,four
2038,Give 0 rating to In the Heart of the Country,,,,In the Heart of the Country,,,0
2039,Give 1 out of 6 rating to the current  textbook,,6,current,,,textbook,1
2040,give the current  chronicle  five of 6  points,chronicle,6,current,,points,,five
2041,Rate Cotton Comes to Harlem a 2,,,,Cotton Comes to Harlem,,,2
2042,Give this  album  one  stars,,,this,,stars,album,one
2043,rate The Adventures of Augie March  one  points,,,,The Adventures of Augie March,points,,one
2044,Rate Soul Music a 0 .,,,,Soul Music,,,0
2045,Give Hindu Temples: What Happened to Them a 5 out of 6  stars .,,6,,Hindu Temples: What Happened to Them,stars,,5
2046,Give this  novel a 1 .,,,this,,,novel,1
2047,rate the current  textbook  1 out of 6,,6,current,,,textbook,1
2048,Give this  textbook  0 out of 6  stars,,6,this,,stars,textbook,0
2049,Give The Crystal Snare  5  stars,,,,The Crystal Snare,stars,,5
2050,Rate this  saga  two out of 6 .,saga,6,this,,,,two
2051,Give Wilco: Learning How to Die a rating of four  points .,,,,Wilco: Learning How to Die,points,,four
2052,Rate this  book  3  stars out of 6,,6,this,,stars,book,3
2053,rate the Three Junes  one out of 6,,6,,Three Junes,,,one
2054,Give four  stars to The Broken Window,,,,The Broken Window,stars,,four
2055,Rate the current  series  4  points,series,,current,,points,,4
